1	752721	121475791	900
1	143199864	249222527	1521
2	11944	92191582	1521
2	95342412	243041411	1369
3	72365	90485813	1521
3	93529128	197848556	900
4	71566	49606599	841
4	52684820	190906015	900
5	29523	46403633	441
5	49441779	180698413	1296
6	203397	58746673	7921
6	61934516	170907734	1024
7	41892	58013387	1296
7	61070337	159124173	1444
8	164984	43752221	1936
8	46936447	146292681	529
9	16967	47204896	625
9	65507526	141101939	625
10	93502	39074656	729
10	42423532	135440226	1156
11	193146	51562420	1444
11	54710133	134945120	1444
12	190980	34827687	1296
12	37858073	133831319	1296
13	19020095	115103150	1444
14	19264875	107287663	1444
15	20044342	102397317	900
16	85629	35257261	841
16	46501717	90170095	1521
17	6157	22217629	441
17	25278811	81103682	1521
18	11358	15318075	576
18	18546896	78015180	1521
19	110783	24545657	1521
19	27742769	59097933	1521
20	63231	26246166	900
20	29471031	62915231	1024
21	14595742	48099610	900
22	16057417	51193629	324
